case_id,split,family_id,oracle_class,oracle_lag_frames,oracle_reason,generator_id,generator_version,seed,parameters_json,parameter_digest,baseline_sha256_float32_le,candidate_sha256_float32_le,pcm_pair_sha256,strata_json
calibration-uniform-noise-v1-10,calibration,uniform-noise-v1,unique,29,A 48-frame sync region is sufficient for the permissive profile and probes overlap sensitivity.,uniform-noise-v1,1.0.0,11010,"{""baseline_sync_length_frames"":48,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":48,""candidate_sync_origin_frames"":0,""lag_frames"":29,""length_frames"":521,""level_linear_fs"":0.8,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",056010f4ce6f0cff62094f448579ebdcd8a1f9b8491070143726e85ae5d139e7,00cc6ce9242ad8f4077ced5a99585c62b9f181bb3775bfb570464d0c1ea48423,1498a5197a2c26dcde373b13b3c39759057eafed62022c4f957aa4b16aefe0a3,4a137597e1cb4712b0f68a3ef7a15dd6e71e0e4556c9496628ec8fc3e6f8f2a0,"{""duration"":""short"",""energy"":""active"",""lag_position"":""positive"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-lfsr-prbs15-v1-11,calibration,lfsr-prbs15-v1,unique,-64,The non-repeating PRBS window has one constructed correspondence in the search range.,lfsr-prbs15-v1,1.0.0,11011,"{""baseline_sync_length_frames"":1031,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":1031,""candidate_sync_origin_frames"":0,""lag_frames"":-64,""length_frames"":1031,""level_linear_fs"":0.18,""polarity"":-1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",f7a281f4c6e4db7712022b955ce00f2f48b3d000319db7047f7f2cc0f2f78ecc,c1d4e2c8d39c113d28c1d42405b868d904ef3af224fe57d14e2bf76c4b2ebb07,73f0341c7544a2468f648babda39ac80f1df1b2ef5e12830b2c07febc569b29c,f38f553fb59198c80c17fc5ddc643f60b2c3c6461931dde5dabca0566c6aabda,"{""duration"":""long"",""energy"":""active"",""lag_position"":""lower_boundary"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""inverted"",""sync_origin"":""zero""}"
calibration-lfsr-prbs15-v1-12,calibration,lfsr-prbs15-v1,unique,0,The non-repeating PRBS window has one constructed correspondence in the search range.,lfsr-prbs15-v1,1.0.0,11012,"{""baseline_sync_length_frames"":508,""baseline_sync_origin_frames"":13,""candidate_gain"":1.0,""candidate_sync_length_frames"":516,""candidate_sync_origin_frames"":5,""lag_frames"":0,""length_frames"":521,""level_linear_fs"":0.8,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",f19ea488837804b3049ea9d9d0fc4b7e8c3569f064269694df6da1d1f61a041b,4d3a4cccd016a6e57905e8b3400308fbadd8c36f6b15c9fdbf1a1eb92188cc91,4d3a4cccd016a6e57905e8b3400308fbadd8c36f6b15c9fdbf1a1eb92188cc91,21369b1ffcf586d5c79bdd4ac0df8c7bf1e6151992631a873af34b17b5267246,"{""duration"":""short"",""energy"":""active"",""lag_position"":""zero"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""offset""}"
calibration-lfsr-prbs15-v1-13,calibration,lfsr-prbs15-v1,unique,64,The non-repeating PRBS window has one constructed correspondence in the search range.,lfsr-prbs15-v1,1.0.0,11013,"{""baseline_sync_length_frames"":762,""baseline_sync_origin_frames"":7,""candidate_gain"":1.0,""candidate_sync_length_frames"":750,""candidate_sync_origin_frames"":19,""lag_frames"":64,""length_frames"":769,""level_linear_fs"":0.18,""polarity"":-1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",d35dcf8d7e7b7899ff6bf38154aef712e160b8d2b59626d42dd8ffe00743083a,8a5acdeb9c3b404dfb10a0a381b0dc038cf54b2a09a62b47598254d0a1475efa,8f8437bf13771922a74553e15571dc5d2e022931aba414f3bbb1e6a169712bbf,e18424c92a3765939119556fbef2d7dace86c97380b7ec2438945012fbd559c6,"{""duration"":""medium"",""energy"":""active"",""lag_position"":""upper_boundary"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""inverted"",""sync_origin"":""offset""}"
calibration-lfsr-prbs15-v1-14,calibration,lfsr-prbs15-v1,unique,-37,The non-repeating PRBS window has one constructed correspondence in the search range.,lfsr-prbs15-v1,1.0.0,11014,"{""baseline_sync_length_frames"":1018,""baseline_sync_origin_frames"":13,""candidate_gain"":1.0,""candidate_sync_length_frames"":1026,""candidate_sync_origin_frames"":5,""lag_frames"":-37,""length_frames"":1031,""level_linear_fs"":0.8,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",cfc7083853e42d6574803abdb1953c0bc8fe01363024adec5899d26c8098e8b5,f3aaea33cb30dc0ffecd168ce7ddf452ad93591219ec11b1b7d20ea307230f24,7a2e79f9d9c5dce153fbbb9fc334b6ac42b6caf8189cbc367b42a2c50f5cf394,5231c2138557ce3c6c42a41e9afd7a96f7bcb47f2273951e11311aaf8e1b4540,"{""duration"":""long"",""energy"":""active"",""lag_position"":""negative"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""offset""}"
calibration-integer-periodic-v1-15,calibration,integer-periodic-v1,ambiguous,,Integer-period repetition creates separated equivalent correlation maxima.,integer-periodic-v1,1.0.0,11015,"{""baseline_sync_length_frames"":769,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":769,""candidate_sync_origin_frames"":0,""lag_frames"":0,""length_frames"":769,""level_linear_fs"":0.8,""period_frames"":11,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",27b0f7e55b0beb819257f660b1a78d6db3cb6bb4a118a2efaf625e0b236da555,824ce3dff4b62788253f410d8de3f74e8035af640baa129fa89c63836777bb83,824ce3dff4b62788253f410d8de3f74e8035af640baa129fa89c63836777bb83,0f2e54114fd6c11cea52a79c228629e3079754e9a77ece83439b96315ae69faf,"{""duration"":""medium"",""energy"":""active"",""lag_position"":""not_applicable"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-integer-periodic-v1-16,calibration,integer-periodic-v1,ambiguous,,Integer-period repetition creates separated equivalent correlation maxima.,integer-periodic-v1,1.0.0,11016,"{""baseline_sync_length_frames"":769,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":769,""candidate_sync_origin_frames"":0,""lag_frames"":0,""length_frames"":769,""level_linear_fs"":0.8,""period_frames"":17,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",39043e1cbe2eca482ce11c2e24ebdf37ed930569036343a31ff7cbbc15539e4a,8339dd6a667f87fc3b11ed1296b2b142c78c7af88f7b69e7492a28d6c94c3e71,8339dd6a667f87fc3b11ed1296b2b142c78c7af88f7b69e7492a28d6c94c3e71,d0b1899c5c43aa22c9f3b4056d3df9795a6a6bea9cde878c571037f584969684,"{""duration"":""medium"",""energy"":""active"",""lag_position"":""not_applicable"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-integer-periodic-v1-17,calibration,integer-periodic-v1,ambiguous,,Integer-period repetition creates separated equivalent correlation maxima.,integer-periodic-v1,1.0.0,11017,"{""baseline_sync_length_frames"":769,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":769,""candidate_sync_origin_frames"":0,""lag_frames"":0,""length_frames"":769,""level_linear_fs"":0.8,""period_frames"":23,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",5459254ed28dfc1dc5361e6614cb19fc4221ec5cc461eb15f838d9bd62282ce4,8b6389cde441bb6e4158193f0c719e5e8a603c55086e3b7a43c94d5481180746,8b6389cde441bb6e4158193f0c719e5e8a603c55086e3b7a43c94d5481180746,c6e08e14295ce948a1d4334c37de73a0b7b2325597ca20a6c2644d734237c4e7,"{""duration"":""medium"",""energy"":""active"",""lag_position"":""not_applicable"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-multi-transient-v1-18,calibration,multi-transient-v1,unique,-64,An asymmetric multi-transient pattern has one constructed correspondence.,multi-transient-v1,1.0.0,11018,"{""background_amplitude"":0.001,""baseline_sync_length_frames"":1031,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":1031,""candidate_sync_origin_frames"":0,""lag_frames"":-64,""length_frames"":1031,""level_linear_fs"":0.8,""polarity"":1,""positions_frames"":[61,173,349,463],""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",8650d7faa83f9d8635f250d7e2bfba4664004c62382c1daa8547b464df32bcec,2f24c3341755aa8221e0a680e4d0ae80cc484e75071b4e56e21e6b8c1c0bfb1c,260df2d23f364bcee826fdff24c79c69df1259be7e36e0e46c030ce7d461dc29,c6e49deca06b589c805f42e8b2a3178135543292ba331082c5ead19c27c8f1b5,"{""duration"":""long"",""energy"":""active"",""lag_position"":""lower_boundary"",""level"":""low"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-multi-transient-v1-19,calibration,multi-transient-v1,unique,-37,An asymmetric multi-transient pattern has one constructed correspondence.,multi-transient-v1,1.0.0,11019,"{""background_amplitude"":0.001,""baseline_sync_length_frames"":1018,""baseline_sync_origin_frames"":13,""candidate_gain"":1.0,""candidate_sync_length_frames"":1026,""candidate_sync_origin_frames"":5,""lag_frames"":-37,""length_frames"":1031,""level_linear_fs"":0.8,""polarity"":1,""positions_frames"":[97,211,397],""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",5f58c555f573c4920847a21429b8b6e1d188f4f6ce3c06127108d0186236abc4,4ad79d1a4f547162b74b296d8d84b531a8d9e9c77709422d6a751e56a5e606e8,78372ecd5ccb31767820002d59138bcd78c71165f34ec5d5d62b87bfaf2f32eb,037682fc21ac3405a1e82b5f60ca105c79f12d68744afcbcee978b2056799134,"{""duration"":""long"",""energy"":""active"",""lag_position"":""negative"",""level"":""low"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""offset""}"
calibration-multi-transient-v1-20,calibration,multi-transient-v1,unique,29,An asymmetric multi-transient pattern has one constructed correspondence.,multi-transient-v1,1.0.0,11020,"{""background_amplitude"":0.001,""baseline_sync_length_frames"":1024,""baseline_sync_origin_frames"":7,""candidate_gain"":1.0,""candidate_sync_length_frames"":1012,""candidate_sync_origin_frames"":19,""lag_frames"":29,""length_frames"":1031,""level_linear_fs"":0.8,""polarity"":-1,""positions_frames"":[43,281,617],""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",205ebdcb6e1a9489eb3a01ff04b37586085416a909a9b2930ff28186e19e02f9,c73222cec61fffd716ef6f6248dcfc23f187d3b3b1bd4747bec3e8735ebed443,4d59145b8529912c3f6396f6913f0a8d848e1962d25b53c9ad3eda2daa4a1656,682663b125ce5aa14ca0b607a6fee8a2b4eb9a67b211aca31a30919b1d9a10dd,"{""duration"":""long"",""energy"":""active"",""lag_position"":""positive"",""level"":""low"",""noise"":""none"",""overlap"":""normal"",""polarity"":""inverted"",""sync_origin"":""offset""}"
calibration-multi-transient-v1-21,calibration,multi-transient-v1,unique,64,An asymmetric multi-transient pattern has one constructed correspondence.,multi-transient-v1,1.0.0,11021,"{""background_amplitude"":0.001,""baseline_sync_length_frames"":1031,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":1031,""candidate_sync_origin_frames"":0,""lag_frames"":64,""length_frames"":1031,""level_linear_fs"":0.8,""polarity"":1,""positions_frames"":[151,509,701],""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",e74b1608a59966debec9f8266af79854e48636342206871103c738918bab8c40,fd351cea73693390454b26823642037bfd5b20f1a4d2ae996ad91774545c1502,778315ae3f1704ef4e74d6185ac30913f514a9db84ad93c7bed73cbfd7dc1dd7,2af3bd1896629b630cde1a314b949a74f1376040ad9694b3c52b383cf682ba29,"{""duration"":""long"",""energy"":""active"",""lag_position"":""upper_boundary"",""level"":""low"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-exact-silence-v1-22,calibration,exact-silence-v1,invalid,,Exact silence has RMS equal to every non-negative floor.,exact-silence-v1,1.0.0,11022,"{""baseline_sync_length_frames"":769,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":769,""candidate_sync_origin_frames"":0,""lag_frames"":0,""length_frames"":769,""level_linear_fs"":0.0,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",cdd8a78dbfeaba9e1ff14a3646f60fef58905302e067a273b1dbb0ebcf7ef566,5031a367fe3fb91c0001b930bb179e0d723d123ea53df7704d9d9de7708a2074,5031a367fe3fb91c0001b930bb179e0d723d123ea53df7704d9d9de7708a2074,a9afea070753d11caed41fabaf9835c3a232abe0e8684c69197c2a75fab4190b,"{""duration"":""medium"",""energy"":""silence"",""lag_position"":""not_applicable"",""level"":""near_silence"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-exact-silence-v1-23,calibration,exact-silence-v1,invalid,,Exact silence has RMS equal to every non-negative floor.,exact-silence-v1,1.0.0,11023,"{""baseline_sync_length_frames"":1031,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":1031,""candidate_sync_origin_frames"":0,""lag_frames"":0,""length_frames"":1031,""level_linear_fs"":0.0,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",d0a2dcef64a4ef3a88d7498a4c4c78f917eb7f74b0b6d390ad9a55d97affb6d4,cb02d78d798ec2d1b8831dc596411cff558b09fb8f9de495843104199c43898d,cb02d78d798ec2d1b8831dc596411cff558b09fb8f9de495843104199c43898d,f29d13100289cc0a2304159aec50004b32d7485211b8f4b218adb5b9c5f48851,"{""duration"":""long"",""energy"":""silence"",""lag_position"":""not_applicable"",""level"":""near_silence"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-short-sync-v1-24,calibration,short-sync-v1,invalid,,Every eligible sync overlap is shorter than the smallest explored minimum.,short-sync-v1,1.0.0,11024,"{""baseline_sync_length_frames"":15,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":15,""candidate_sync_origin_frames"":0,""lag_frames"":0,""length_frames"":521,""level_linear_fs"":0.8,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",988d9ecf575e6591f2c5566b0748f7fdf306ddd01b8693478780fc73a99a241f,31f6f7441feb19741e1e1550fd1e86316e319735aa209d0ab651b8570413f1be,31f6f7441feb19741e1e1550fd1e86316e319735aa209d0ab651b8570413f1be,6aa4ba86a29d56ca7c76b9f8fe31ba698c384efcf9c722a656bef1eed90f6a9b,"{""duration"":""short"",""energy"":""active"",""lag_position"":""not_applicable"",""level"":""nominal"",""noise"":""none"",""overlap"":""short"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-short-sync-v1-25,calibration,short-sync-v1,invalid,,Every eligible sync overlap is shorter than the smallest explored minimum.,short-sync-v1,1.0.0,11025,"{""baseline_sync_length_frames"":15,""baseline_sync_origin_frames"":13,""candidate_gain"":1.0,""candidate_sync_length_frames"":15,""candidate_sync_origin_frames"":5,""lag_frames"":0,""length_frames"":521,""level_linear_fs"":0.8,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",d3476393216747474556bd291627c328b15aa326bbcfe560ed2760c67c799ef8,663e2dba61a74a709bed6edfd9c9ebe9653c7a3b2ef54a95657dfc22b406f33e,663e2dba61a74a709bed6edfd9c9ebe9653c7a3b2ef54a95657dfc22b406f33e,9de3d419bf282b2dcb49370657f74bc8247199e2972b5910ebbf98b35d42987b,"{""duration"":""short"",""energy"":""active"",""lag_position"":""not_applicable"",""level"":""nominal"",""noise"":""none"",""overlap"":""short"",""polarity"":""normal"",""sync_origin"":""offset""}"
